CanESM5-CanOE_370,CNRM-CM6-1_370,CNRM-CM6-1-HR_370,CNRM-ESM2-1_370,GFDL-ESM4_370,INM-CM4-8_370,INM-CM5-0_370,IPSL-CM6A-LR_370,MRI-ESM2-0_370,CanESM5-CanOE_585,CNRM-CM6-1_585,CNRM-CM6-1-HR_585,CNRM-ESM2-1_585,GFDL-ESM4_585,INM-CM4-8_585,INM-CM5-0_585,IPSL-CM6A-LR_585,MRI-ESM2-0_585
7.1097,5.1748,8.6059,6.4104,4.2147,2.2603,2.6163,8.6759,1.9734,6.8199,8.4977,8.6854,5.3701,8.5006,2.7669,2.3519,7.5766,2.0186
4.4623,4.0508,2.1786,1.8552,1.4196,0.9913,1.8183,4.9922,1.0573,4.3879,0.59203,2.2705,2.4063,1.7709,1.0081,1.2325,5.9452,3.0001
0.0022362,0.36169,0.28184,1.0014,0.0062777,0.9041,1.7399,2.1057,0.0061944,0.1487,0.95236,0.57636,0.96474,3.97E-05,0.50024,1.274,0.8148,3.54E-18
0.0012922,0.37199,0.14654,1.4266,0.0055715,2.4692,1.4329,0.84715,0.3852,0.0012141,0.37856,0.57997,0.75265,0.013516,0.58928,2.8919,1.0639,0.00071261
0.00036485,1.7212,0.41727,0.3255,0.12486,1.7883,2.1126,1.4854,0.59802,0.072021,1.8673,1.7995,0.59784,1.3207,2.9389,2.6782,2.6466,3.0293
3.0917,2.4666,1.2141,3.235,1.0175,1.4609,1.3976,4.272,2.0302,2.0076,1.9118,2.2777,3.1922,0.57136,2.3869,1.8354,3.413,1.5635
3.0097,4.3978,2.6467,4.5148,2.0654,1.1716,2.323,6.5698,2.4737,2.5872,3.1462,5.9162,3.9646,1.4024,1.0717,3.7215,4.9656,1.1844
8.3276,3.5034,6.2438,4.267,4.0079,4.6859,4.3614,7.388,3.3197,12.601,7.2066,3.4786,5.4403,6.387,4.0709,3.7557,6.3786,2.3025
10.996,3.6338,4.0524,5.8954,12.57,7.5417,5.2612,7.9083,5.9913,18.895,3.5354,3.6837,4.8638,5.6944,6.7206,6.7071,7.6515,7.7256
6.0586,10.35,7.9508,6.2236,8.7073,8.6516,7.3173,7.5354,1.9863,14.1,12.754,4.3464,6.5461,11.458,9.3948,9.4497,8.1433,2.7994
